a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24,
1,0,10,global,kill_while_wallrunning,CHALLENGE_BOOT_CAMP_KILL_WHILE_WALLRUNNING,500,,,,,0,,,,,bootcamp,,,,,,,,,
2,1,25,global,kill_while_wallrunning,CHALLENGE_BOOT_CAMP_KILL_WHILE_WALLRUNNING,1000,,,,,0,,,,,bootcamp,,,,,,,,,
3,2,50,global,kill_while_wallrunning,CHALLENGE_BOOT_CAMP_KILL_WHILE_WALLRUNNING,2500,,,,mastery_boot_camp,0,EM_BACK_BOOTCAMP_wallcrawler,,,,bootcamp,,,,,,,,,
4,0,10,global,kill_while_in_air,CHALLENGE_BOOT_CAMP_KILL_WHILE_IN_AIR,500,,,,,0,,,,,bootcamp,,,,,,,,,
5,1,25,global,kill_while_in_air,CHALLENGE_BOOT_CAMP_KILL_WHILE_IN_AIR,1000,,,,,0,,,,,bootcamp,,,,,,,,,
6,2,50,global,kill_while_in_air,CHALLENGE_BOOT_CAMP_KILL_WHILE_IN_AIR,2500,,,,mastery_boot_camp,0,EM_BACK_BOOTCAMP_airborne,,,,bootcamp,,,,,,,,,
7,0,10,global,kill_while_sliding,CHALLENGE_BOOT_CAMP_KILL_WHILE_SLIDING,500,,,,,0,,,,,bootcamp,,,,,,,,,
8,1,25,global,kill_while_sliding,CHALLENGE_BOOT_CAMP_KILL_WHILE_SLIDING,1000,,,,,0,,,,,bootcamp,,,,,,,,,
9,2,50,global,kill_while_sliding,CHALLENGE_BOOT_CAMP_KILL_WHILE_SLIDING,2500,,,,mastery_boot_camp,0,EM_BACK_BOOTCAMP_slipshot,,,,bootcamp,,,,,,,,,
10,0,10,global,kill_while_mantling,CHALLENGE_BOOT_CAMP_KILL_WHILE_MANTLING,500,,,,,0,,,,,bootcamp,,,,,,,,,
11,1,25,global,kill_while_mantling,CHALLENGE_BOOT_CAMP_KILL_WHILE_MANTLING,1000,,,,,0,,,,,bootcamp,,,,,,,,,
12,2,50,global,kill_while_mantling,CHALLENGE_BOOT_CAMP_KILL_WHILE_MANTLING,2500,,,,mastery_boot_camp,0,EM_BACK_BOOTCAMP_commando,,,,bootcamp,,,,,,,,,
13,0,10,global,kill_enemy_thats_wallrunning,CHALLENGE_BOOT_CAMP_KILL_ENEMY_THATS_WALLRUNNING,500,,,,,0,,,,,bootcamp,,,,,,,,,
14,1,25,global,kill_enemy_thats_wallrunning,CHALLENGE_BOOT_CAMP_KILL_ENEMY_THATS_WALLRUNNING,1000,,,,,0,,,,,bootcamp,,,,,,,,,
15,2,50,global,kill_enemy_thats_wallrunning,CHALLENGE_BOOT_CAMP_KILL_ENEMY_THATS_WALLRUNNING,2500,,,,mastery_boot_camp,0,EM_BACK_BOOTCAMP_wallscraper,,,,bootcamp,,,,,,,,,
16,0,10,global,kill_enemy_that_in_air,CHALLENGE_BOOT_CAMP_KILL_ENEMY_THATS_IN_AIR,500,,,,,0,,,,,bootcamp,,,,,,,,,
17,1,25,global,kill_enemy_that_in_air,CHALLENGE_BOOT_CAMP_KILL_ENEMY_THATS_IN_AIR,1000,,,,,0,,,,,bootcamp,,,,,,,,,
18,2,50,global,kill_enemy_that_in_air,CHALLENGE_BOOT_CAMP_KILL_ENEMY_THATS_IN_AIR,2500,,,,mastery_boot_camp,0,EM_BACK_BOOTCAMP_backtoearth,,,,bootcamp,,,,,,,,,
19,0,10,global,kill_while_underwater,CHALLENGE_BOOT_CAMP_KILL_WHILE_UNDERWATER,1000,,,,mastery_boot_camp,0,EM_BACK_BOOTCAMP_frogman,,,,bootcamp,,,,,,,,,
20,0,1,global,kill_after_doublejump_out_of_water,CHALLENGE_BOOT_CAMP_KILL_AFTER_DOUBLEJUMP_OUT_OF_WATER,1000,,,,mastery_boot_camp,0,EM_BACK_BOOTCAMP_fromthedepths,,,,bootcamp,,,,,,,,,
