A,,,,,,,,,,,,,,,,,,,,,,,,,
a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24,
768,0,5,daily,ZM_DAILY_EAT_GOBBLEGUM,ZMUI_DAILY_CHALLENGE_5_GUM,5000,,,,,,,,,,,,,,,,,,,
769,0,100,daily,ZM_DAILY_KILLS_NUKED,ZMUI_DAILY_CHALLENGE_NUKED,5000,,,,,,,,,,,,,,,,,,,
770,0,3,daily,ZM_DAILY_REPACK_WEAPONS,ZMUI_DAILY_CHALLENGE_DOUBLEPACK,0,,,,,,,,,,,,,,,,,,1,
771,0,80,daily,ZM_DAILY_KILLS_HEADSHOTS,ZMUI_DAILY_CHALLENGE_HEADSHOTS,0,,,,,,,,,,,,,,,,,,1,
772,0,1,daily,ZM_DAILY_KILLS_HEADSHOTS_IN_ROW,ZMUI_DAILY_CHALLENGE_HEADSHOT_ROW,0,,,,,,,,,,,,,,,,,,1,
773,0,50,daily,ZM_DAILY_KILLS_MELEE,ZMUI_DAILY_CHALLENGE_MELEE,10000,,,,,,,,,,,,,,,,,,,
774,0,100,daily,ZM_DAILY_KILLS_SNIPER,ZMUI_DAILY_CHALLENGE_SNIPER,10000,,,,,,,,,,,,,,,,,,,
775,0,150,daily,ZM_DAILY_KILLS_SHOTGUN,ZMUI_DAILY_CHALLENGE_SHOTGUN,5000,,,,,,,,,,,,,,,,,,,
776,0,150,daily,ZM_DAILY_KILLS_RIFLE,ZMUI_DAILY_CHALLENGE_RIFLE,5000,,,,,,,,,,,,,,,,,,,
777,0,150,daily,ZM_DAILY_KILLS_SMG,ZMUI_DAILY_CHALLENGE_SMG,5000,,,,,,,,,,,,,,,,,,,
778,0,150,daily,ZM_DAILY_KILLS_MG,ZMUI_DAILY_CHALLENGE_MG,5000,,,,,,,,,,,,,,,,,,,
779,0,75,daily,ZM_DAILY_KILLS_PISTOL,ZMUI_DAILY_CHALLENGE_PISTOL,0,,,,,,,,,,,,,,,,,,1,
780,0,25,daily,ZM_DAILY_KILLS_BOUNCING_BETTY,ZMUI_DAILY_CHALLENGE_TRIPMINES,5000,,,,,,,,,,,,,,,,,,,
781,0,40,daily,ZM_DAILY_KILLS_BOWIE,ZMUI_DAILY_CHALLENGE_BOWIE,7500,,,,,,,,,,,,,,,,,,,
782,0,50,daily,ZM_DAILY_KILLS_EXPLOSIVE,ZMUI_DAILY_CHALLENGE_EXPLOSIVES,5000,,,,,,,,,,,,,,,,,,,
783,0,200,daily,ZM_DAILY_KILLS_PACKED,ZMUI_DAILY_CHALLENGE_PAP_KILLS,0,,,,,,,,,,,,,,,,,,1,
784,0,200,daily,ZM_DAILY_KILLS_PACKED_SNIPER,ZMUI_DAILY_CHALLENGE_PAP_SNIPER,0,,,,,,,,,,,,,,,,,,1,
785,0,200,daily,ZM_DAILY_KILLS_PACKED_SHOTGUN,ZMUI_DAILY_CHALLENGE_PAP_SHOTGUN,0,,,,,,,,,,,,,,,,,,1,
786,0,200,daily,ZM_DAILY_KILLS_PACKED_RIFLE,ZMUI_DAILY_CHALLENGE_PAP_RIFLE,0,,,,,,,,,,,,,,,,,,1,
