a0,b1,c2,d3,e4,f5
0,0,pistol_burst,reflex,100,
1,0,pistol_burst,quickdraw,200,0
2,0,pistol_burst,steadyaim,300,1
3,0,pistol_burst,reddot,400,1
4,0,pistol_burst,extbarrel,500,2
5,0,pistol_burst,fastreload,600,2
0,0,pistol_fullauto,reflex,100,
1,0,pistol_fullauto,quickdraw,200,0
2,0,pistol_fullauto,steadyaim,300,1
3,0,pistol_fullauto,reddot,400,1
4,0,pistol_fullauto,extbarrel,500,2
5,0,pistol_fullauto,fastreload,600,2
0,0,pistol_standard,reflex,100,
1,0,pistol_standard,quickdraw,200,0
2,0,pistol_standard,steadyaim,300,1
3,0,pistol_standard,reddot,400,1
4,0,pistol_standard,extbarrel,500,2
5,0,pistol_standard,fastreload,600,2
0,0,pistol_energy,reflex,100,
1,0,pistol_energy,quickdraw,200,0
2,0,pistol_energy,steadyaim,300,1
3,0,pistol_energy,reddot,400,1
4,0,pistol_energy,extbarrel,500,2
5,0,pistol_energy,fastreload,600,2
0,0,pistol_m1911,reflex,100,
1,0,pistol_m1911,quickdraw,200,0
2,0,pistol_m1911,steadyaim,300,1
3,0,pistol_m1911,reddot,400,1
4,0,pistol_m1911,extbarrel,500,2
5,0,pistol_m1911,fastreload,600,2
0,0,smg_burst,reflex,100,
1,0,smg_burst,quickdraw,200,0
2,0,smg_burst,stalker,300,1
3,0,smg_burst,dualoptic,400,1
4,0,smg_burst,steadyaim,500,1
5,0,smg_burst,reddot,600,2
6,0,smg_burst,rf,700,2
7,0,smg_burst,holo,800,3
8,0,smg_burst,grip,900,3
9,0,smg_burst,acog,1000,4
10,0,smg_burst,extbarrel,1100,4
11,0,smg_burst,fastreload,1200,5
0,0,smg_capacity,reflex,100,
1,0,smg_capacity,quickdraw,200,0
2,0,smg_capacity,stalker,300,1
3,0,smg_capacity,dualoptic,400,1
4,0,smg_capacity,steadyaim,500,1
5,0,smg_capacity,reddot,600,2
6,0,smg_capacity,rf,700,2
7,0,smg_capacity,holo,800,3
8,0,smg_capacity,grip,900,3
9,0,smg_capacity,acog,1000,4
10,0,smg_capacity,extbarrel,1100,4
11,0,smg_capacity,fastreload,1200,5
0,0,smg_fastfire,reflex,100,
1,0,smg_fastfire,quickdraw,200,0
2,0,smg_fastfire,stalker,300,1
3,0,smg_fastfire,dualoptic,400,1
4,0,smg_fastfire,steadyaim,500,1
5,0,smg_fastfire,reddot,600,2
6,0,smg_fastfire,rf,700,2
7,0,smg_fastfire,holo,800,3
8,0,smg_fastfire,grip,900,3
9,0,smg_fastfire,acog,1000,4
10,0,smg_fastfire,extbarrel,1100,4
11,0,smg_fastfire,fastreload,1200,5
0,0,smg_longrange,reflex,100,
1,0,smg_longrange,quickdraw,200,0
2,0,smg_longrange,stalker,300,1
3,0,smg_longrange,dualoptic,400,1
4,0,smg_longrange,steadyaim,500,1
5,0,smg_longrange,reddot,600,2
6,0,smg_longrange,rf,700,2
7,0,smg_longrange,holo,800,3
8,0,smg_longrange,grip,900,3
9,0,smg_longrange,acog,1000,4
10,0,smg_longrange,extbarrel,1100,4
11,0,smg_longrange,fastreload,1200,5
0,0,smg_mp40,reflex,100,
1,0,smg_mp40,quickdraw,200,0
2,0,smg_mp40,stalker,300,1
3,0,smg_mp40,dualoptic,400,1
4,0,smg_mp40,steadyaim,500,1
5,0,smg_mp40,reddot,600,2
6,0,smg_mp40,rf,700,2
7,0,smg_mp40,holo,800,3
8,0,smg_mp40,grip,900,3
9,0,smg_mp40,acog,1000,4
10,0,smg_mp40,extbarrel,1100,4
11,0,smg_mp40,fastreload,1200,5
0,0,smg_ak74u,reflex,100,
1,0,smg_ak74u,quickdraw,200,0
2,0,smg_ak74u,stalker,300,1
3,0,smg_ak74u,dualoptic,400,1
4,0,smg_ak74u,steadyaim,500,1
5,0,smg_ak74u,reddot,600,2
6,0,smg_ak74u,rf,700,2
7,0,smg_ak74u,holo,800,3
8,0,smg_ak74u,grip,900,3
9,0,smg_ak74u,acog,1000,4
10,0,smg_ak74u,extbarrel,1100,4
11,0,smg_ak74u,fastreload,1200,5
0,0,smg_ppsh,fmj,100,
1,0,smg_ppsh,quickdraw,200,0
2,0,smg_ppsh,stalker,300,1
3,0,smg_ppsh,steadyaim,400,1
4,0,smg_ppsh,rf,500,1
5,0,smg_ppsh,extbarrel,600,2
6,0,smg_ppsh,suppressed,700,2
0,0,smg_standard,reflex,100,
1,0,smg_standard,quickdraw,200,0
2,0,smg_standard,stalker,300,1
3,0,smg_standard,dualoptic,400,1
4,0,smg_standard,steadyaim,500,1
5,0,smg_standard,reddot,600,2
6,0,smg_standard,rf,700,2
7,0,smg_standard,holo,800,3
8,0,smg_standard,grip,900,3
9,0,smg_standard,acog,1000,4
10,0,smg_standard,extbarrel,1100,4
11,0,smg_standard,fastreload,1200,5
0,0,smg_versatile,reflex,100,
1,0,smg_versatile,quickdraw,200,0
2,0,smg_versatile,stalker,300,1
3,0,smg_versatile,dualoptic,400,1
4,0,smg_versatile,steadyaim,500,1
5,0,smg_versatile,reddot,600,2
6,0,smg_versatile,rf,700,2
7,0,smg_versatile,holo,800,3
8,0,smg_versatile,grip,900,3
9,0,smg_versatile,acog,1000,4
10,0,smg_versatile,extbarrel,1100,4
11,0,smg_versatile,fastreload,1200,5
0,0,ar_accurate,reflex,100,
1,0,ar_accurate,quickdraw,200,0
2,0,ar_accurate,ir,300,1
3,0,ar_accurate,stalker,400,1
4,0,ar_accurate,dualoptic,500,1
5,0,ar_accurate,steadyaim,600,1
6,0,ar_accurate,reddot,700,2
7,0,ar_accurate,rf,800,2
8,0,ar_accurate,holo,900,3
9,0,ar_accurate,grip,1000,3
10,0,ar_accurate,acog,1100,4
11,0,ar_accurate,extbarrel,1200,4
12,0,ar_accurate,fastreload,1300,5
0,0,ar_cqb,reflex,100,
1,0,ar_cqb,quickdraw,200,0
2,0,ar_cqb,ir,300,1
3,0,ar_cqb,stalker,400,1
4,0,ar_cqb,dualoptic,500,1
5,0,ar_cqb,steadyaim,600,1
6,0,ar_cqb,reddot,700,2
7,0,ar_cqb,rf,800,2
8,0,ar_cqb,holo,900,3
9,0,ar_cqb,grip,1000,3
10,0,ar_cqb,acog,1100,4
11,0,ar_cqb,extbarrel,1200,4
12,0,ar_cqb,fastreload,1300,5
0,0,ar_damage,reflex,100,
1,0,ar_damage,quickdraw,200,0
2,0,ar_damage,ir,300,1
3,0,ar_damage,stalker,400,1
4,0,ar_damage,dualoptic,500,1
5,0,ar_damage,steadyaim,600,1
6,0,ar_damage,reddot,700,2
7,0,ar_damage,rf,800,2
8,0,ar_damage,holo,900,3
9,0,ar_damage,grip,1000,3
10,0,ar_damage,acog,1100,4
11,0,ar_damage,extbarrel,1200,4
12,0,ar_damage,fastreload,1300,5
0,0,ar_fastburst,reflex,100,
1,0,ar_fastburst,quickdraw,200,0
2,0,ar_fastburst,ir,300,1
3,0,ar_fastburst,stalker,400,1
4,0,ar_fastburst,dualoptic,500,1
5,0,ar_fastburst,steadyaim,600,1
6,0,ar_fastburst,reddot,700,2
7,0,ar_fastburst,rf,800,2
8,0,ar_fastburst,holo,900,3
9,0,ar_fastburst,grip,1000,3
10,0,ar_fastburst,acog,1100,4
11,0,ar_fastburst,extbarrel,1200,4
12,0,ar_fastburst,fastreload,1300,5
0,0,ar_m14,reflex,100,
1,0,ar_m14,quickdraw,200,0
2,0,ar_m14,ir,300,1
