index,type,name,resident,streamed,parentStack
1,string,,8360,0,||assetlist
2,xmodelmesh,p7_zm_der_magic_box_fake_trunk_lod06a9106b2,2648,0,|p7_zm_der_magic_box_fake_trunk|xmodel|p7_zm_der_magic_box_fake|xmodel|zone_source/core_mod.zone|csv
3,xmodelmesh,p7_zm_der_magic_box_fake_trunk_lod03cd1fa2a,352,4448,|p7_zm_der_magic_box_fake_trunk|xmodel|p7_zm_der_magic_box_fake|xmodel|zone_source/core_mod.zone|csv
4,xmodelmesh,p7_zm_der_magic_box_fake_trunk_lod0d243ccf1,352,8528,|p7_zm_der_magic_box_fake_trunk|xmodel|p7_zm_der_magic_box_fake|xmodel|zone_source/core_mod.zone|csv
5,xmodelmesh,t7_gfl_jaeger_fb_lod1fe5433b2,1056,215088,|c_hro_goh_min_base_fb|xmodel|zone_source/core_mod.zone|csv
6,xmodelmesh,t7_gfl_tololo_fb_lod1956f2206,1504,331008,|c_cia_blackstation_victim_1_fb_corpse|xmodel|zone_source/core_mod.zone|csv
7,xmodelmesh,t7_gfl_vepley_backpack_fb_lod1e5c5f276,1536,307504,|t7_gfl_vepley_backpack_fb|xmodel|zone_source/core_mod.zone|csv
8,xmodelmesh,t7_gfl_guard_fb_lod1aa8a5b9b,1056,323904,|t7_gfl_guard_fb|xmodel|zone_source/core_mod.zone|csv
9,xmodelmesh,t7_gfl_vespid_fb_lod112896ca0,800,160992,|t7_gfl_vespid_fb|xmodel|zone_source/core_mod.zone|csv
10,xmodelmesh,t7_gfl_ripper_fb_lod18222a940,928,208896,|t7_gfl_ripper_fb|xmodel|zone_source/core_mod.zone|csv
11,xmodelmesh,t7_gfl_vepley_fb_lod176e7daae,1280,246992,|t7_gfl_vepley_fb|xmodel|zone_source/core_mod.zone|csv
12,xmodelmesh,t7_gfl_lenna_fb_lod144f112b3,1520,363008,|t7_gfl_lenna_base_fb|xmodel|zone_source/core_mod.zone|csv
13,xmodelmesh,t7_gfl_lenna_fb_lod1c9efc8b7,1520,363008,|t7_gfl_lenna_base_fb_mp|xmodel|pbt_gfl_body_lenna|playerbodystyle|pbt_gfl_ump45|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
14,xmodelmesh,t7_gfl_vepley_fb_lod1d87fc987,1280,246304,|t7_gfl_vepley_fb_mp|xmodel|pbt_gfl_body_vepley|playerbodystyle|pbt_zm_zod_femme|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
15,xmodelmesh,t7_gfl_tololo_fb_lod18afefd9c,1504,331472,|c_zom_zod_boxer_mpc_fb|xmodel|zone_source/core_mod.zone|csv
16,xmodelmesh,t7_gfl_guard_fb_lod14e27ba2a,1056,323680,|t7_gfl_guard_fb_mp|xmodel|pbt_gfl_body_guard|playerbodystyle|pbt_gfl_sf|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
17,xmodelmesh,t7_gfl_vespid_fb_lod1665d91e,800,160992,|t7_gfl_vespid_fb_mp|xmodel|pbt_gfl_body_vespid|playerbodystyle|pbt_gfl_sf|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
18,xmodelmesh,t7_gfl_jaeger_fb_lod12902f24d,1056,215216,|c_t7_zm_dlchd_origins_player_body_mpc|xmodel|zone_source/core_mod.zone|csv
19,xmodelmesh,t7_gfl_ripper_fb_lod1f964c7af,928,208576,|t7_gfl_ripper_fb_mp|xmodel|pbt_gfl_body_ripper|playerbodystyle|pbt_gfl_sf|playerbodytype|zm_character_customization_zmhd|customizationtable|zone_source/core_mod.zone|csv
20,xmodelmesh,t7_gfl_vepley_backpack_fb_lod14ccc49ac,1536,307792,|c_zom_zod_femme_mpc_fb|xmodel|zone_source/core_mod.zone|csv
21,xmodelmesh,p7_zm_der_magic_box_fake_trunk_lod0a953f994,352,13568,|p7_zm_der_magic_box_fake_trunk|xmodel|p7_zm_der_magic_box_fake|xmodel|zone_source/core_mod.zone|csv
22,xmodelmesh,t7_gfl_jaeger_fb_lod194a0330b,1184,339808,|c_hro_goh_min_base_fb|xmodel|zone_source/core_mod.zone|csv
23,xmodelmesh,t7_gfl_tololo_fb_lod153d7b9a4,1616,525040,|c_cia_blackstation_victim_1_fb_corpse|xmodel|zone_source/core_mod.zone|csv
24,xmodelmesh,t7_gfl_vepley_backpack_fb_lod1bd08fcc2,1760,492064,|t7_gfl_vepley_backpack_fb|xmodel|zone_source/core_mod.zone|csv
25,xmodelmesh,t7_gfl_guard_fb_lod1f3a43079,1056,377120,|t7_gfl_guard_fb|xmodel|zone_source/core_mod.zone|csv
26,xmodelmesh,t7_gfl_vespid_fb_lod18d70159f,976,259168,|t7_gfl_vespid_fb|xmodel|zone_source/core_mod.zone|csv
27,xmodelmesh,t7_gfl_ripper_fb_lod1efb56a3b,928,328256,|t7_gfl_ripper_fb|xmodel|zone_source/core_mod.zone|csv
28,xmodelmesh,t7_gfl_vepley_fb_lod1318c71bd,1632,406832,|t7_gfl_vepley_fb|xmodel|zone_source/core_mod.zone|csv
29,xmodelmesh,t7_gfl_lenna_fb_lod1b740200c,1616,616336,|t7_gfl_lenna_base_fb|xmodel|zone_source/core_mod.zone|csv
