index,type,name,resident,streamed,parentStack
1,string,,46,0,||assetlist
2,rawfile,dummy.cfg,17,0,|zone_source/cp_mod.zone|csv
3,techset,mc/lit_transparent#e6142445,1207099,0,|mc/global_invisible|material|c_54i_supp_body_g_rlegoff|xmodel|zone_source/cp_mod.zone|csv
4,image,$white_reveal,134,0,|mc/global_invisible|material|c_54i_supp_body_g_rlegoff|xmodel|zone_source/cp_mod.zone|csv
5,image,$gray_32_one_channel,306,0,|mc/global_invisible|material|c_54i_supp_body_g_rlegoff|xmodel|zone_source/cp_mod.zone|csv
6,image,$identitynormalmap,302,0,|mc/global_invisible|material|c_54i_supp_body_g_rlegoff|xmodel|zone_source/cp_mod.zone|csv
7,image,$blacktransparent_color,232,0,|mc/mtl_power_armor|material|zone_source/cp_mod.zone|csv
8,material,mc/mtl_power_armor,1558,0,|zone_source/cp_mod.zone|csv
9,image,$black_color,133,0,|mc/global_invisible|material|c_54i_supp_body_g_rlegoff|xmodel|zone_source/cp_mod.zone|csv
10,material,mc/global_invisible,1235,0,|c_54i_supp_body_g_rlegoff|xmodel|zone_source/cp_mod.zone|csv
11,xmodelmesh,tag_origin_animatec354447e,592,0,|c_54i_supp_body_g_rlegoff|xmodel|zone_source/cp_mod.zone|csv
12,xmodel,c_zur_terrorist_head1,260,0,|zone_source/cp_mod.zone|csv
13,xmodel,c_zur_terrorist_head2,128,0,|zone_source/cp_mod.zone|csv
14,xmodel,c_zur_terrorist_head3,128,0,|zone_source/cp_mod.zone|csv
15,xmodel,c_zur_terrorist_2_head_bala,128,0,|zone_source/cp_mod.zone|csv
16,xmodel,c_zur_terrorist_3_head_bala,128,0,|zone_source/cp_mod.zone|csv
17,xmodel,c_hro_rachel_egypt_scarf,128,0,|zone_source/cp_mod.zone|csv
18,xmodel,p7_hro_hendricks_mic_fb,128,0,|zone_source/cp_mod.zone|csv
19,xmodel,p7_cia_blackstation_victim_3_pinky,136,0,|zone_source/cp_mod.zone|csv
20,xmodel,p7_cia_blackstation_victim_3_ring,136,0,|zone_source/cp_mod.zone|csv
21,xmodel,p7_fxanim_cp_zurich_tree_krueger_split_torso_mod,152,0,|zone_source/cp_mod.zone|csv
22,xmodel,c_civ_sing_female_wife_behead,136,0,|zone_source/cp_mod.zone|csv
23,xmodel,c_civ_sing_female_wife_head,128,0,|zone_source/cp_mod.zone|csv
24,xmodel,c_civ_sing_male_husband_behead,136,0,|zone_source/cp_mod.zone|csv
25,xmodel,c_civ_sing_male_husband_head,136,0,|zone_source/cp_mod.zone|csv
26,xmodel,c_54i_warlord_zomcampaign_head,136,0,|zone_source/cp_mod.zone|csv
27,xmodel,c_54i_assault_head1,120,0,|zone_source/cp_mod.zone|csv
28,xmodel,c_54i_assault_head2,120,0,|zone_source/cp_mod.zone|csv
29,xmodel,c_54i_assault_head3,120,0,|zone_source/cp_mod.zone|csv
30,xmodel,c_54i_assault_f_head,128,0,|zone_source/cp_mod.zone|csv
31,xmodel,c_54i_cqb_head1,120,0,|zone_source/cp_mod.zone|csv
32,xmodel,c_54i_cqb_f_head1,120,0,|zone_source/cp_mod.zone|csv
33,xmodel,c_54i_sniper_head,120,0,|zone_source/cp_mod.zone|csv
34,xmodel,c_54i_supp_head1,120,0,|zone_source/cp_mod.zone|csv
35,xmodel,c_54i_assault_head1_preckill,136,0,|zone_source/cp_mod.zone|csv
36,xmodel,c_54i_supp_head1_preckill,128,0,|zone_source/cp_mod.zone|csv
37,xmodel,c_54i_sniper_head_preckill,128,0,|zone_source/cp_mod.zone|csv
38,xmodel,c_54i_cqb_head1_preckill,128,0,|zone_source/cp_mod.zone|csv
39,xmodel,c_nrc_assault_f_head,128,0,|zone_source/cp_mod.zone|csv
40,xmodel,c_nrc_assault_f_head2,128,0,|zone_source/cp_mod.zone|csv
41,xmodel,c_nrc_assault_f_head3,128,0,|zone_source/cp_mod.zone|csv
42,xmodel,c_nrc_assault_head,120,0,|zone_source/cp_mod.zone|csv
43,xmodel,c_nrc_assault_head2,120,0,|zone_source/cp_mod.zone|csv
44,xmodel,c_nrc_cqb_f_head,120,0,|zone_source/cp_mod.zone|csv
45,xmodel,c_nrc_cqb_head,120,0,|zone_source/cp_mod.zone|csv
46,xmodel,c_nrc_security_head1,128,0,|zone_source/cp_mod.zone|csv
47,xmodel,c_nrc_sniper_head,120,0,|zone_source/cp_mod.zone|csv
48,xmodel,c_nrc_suppressor_head,128,0,|zone_source/cp_mod.zone|csv
49,xmodel,c_hro_hendricks_egypt_head,128,0,|zone_source/cp_mod.zone|csv
50,xmodel,c_hro_hendricks_sing_head,128,0,|zone_source/cp_mod.zone|csv
51,xmodel,c_hro_rachel_egypt_head,128,0,|zone_source/cp_mod.zone|csv
52,xmodel,c_hro_rachel_egypt_nosweat_head,136,0,|zone_source/cp_mod.zone|csv
53,xmodel,c_hro_rachel_sing_head,128,0,|zone_source/cp_mod.zone|csv
54,xmodel,c_hro_taylor_base_head,128,0,|zone_source/cp_mod.zone|csv
55,xmodel,c_hro_taylor_base_head_rev,128,0,|zone_source/cp_mod.zone|csv
56,xmodel,c_hro_taylor_base_head_bullet_wound,136,0,|zone_source/cp_mod.zone|csv
57,xmodel,c_hro_sarah_base_head,128,0,|zone_source/cp_mod.zone|csv
58,xmodel,c_hro_maretti_base_head,128,0,|zone_source/cp_mod.zone|csv
59,xmodel,c_hro_maretti_base_head_rev,128,0,|zone_source/cp_mod.zone|csv
60,xmodel,c_hro_diaz_base_head,128,0,|zone_source/cp_mod.zone|csv
61,xmodel,c_hro_diaz_base_head_rev,128,0,|zone_source/cp_mod.zone|csv
62,xmodel,c_hro_khalil_base_head,128,0,|zone_source/cp_mod.zone|csv
63,xmodel,c_hro_khalil_egypt_head,128,0,|zone_source/cp_mod.zone|csv
64,xmodel,c_nrc_assault_body_g_legsoff,136,0,|zone_source/cp_mod.zone|csv
65,xmodel,c_nrc_assault_body_g_llegoff,136,0,|zone_source/cp_mod.zone|csv
66,xmodel,c_nrc_assault_body_g_lowclean,136,0,|zone_source/cp_mod.zone|csv
67,xmodel,c_nrc_assault_body_g_rlegoff,136,0,|zone_source/cp_mod.zone|csv
68,xmodel,c_nrc_assault_f_body_g_legsoff,136,0,|zone_source/cp_mod.zone|csv
69,xmodel,c_nrc_assault_f_body_g_llegoff,136,0,|zone_source/cp_mod.zone|csv
70,xmodel,c_nrc_assault_f_body_g_lowclean,136,0,|zone_source/cp_mod.zone|csv
71,xmodel,c_nrc_assault_f_body_g_rlegoff,136,0,|zone_source/cp_mod.zone|csv
72,xmodel,c_nrc_cqb_body_g_legsoff,128,0,|zone_source/cp_mod.zone|csv
73,xmodel,c_nrc_cqb_body_g_llegoff,128,0,|zone_source/cp_mod.zone|csv
74,xmodel,c_nrc_cqb_body_g_lowclean,128,0,|zone_source/cp_mod.zone|csv
75,xmodel,c_nrc_cqb_body_g_rlegoff,128,0,|zone_source/cp_mod.zone|csv
76,xmodel,c_nrc_cqb_f_body_g_legsoff,128,0,|zone_source/cp_mod.zone|csv
77,xmodel,c_nrc_cqb_f_body_g_llegoff,128,0,|zone_source/cp_mod.zone|csv
78,xmodel,c_nrc_cqb_f_body_g_lowclean,128,0,|zone_source/cp_mod.zone|csv
79,xmodel,c_nrc_cqb_f_body_g_rlegoff,128,0,|zone_source/cp_mod.zone|csv
80,xmodel,c_nrc_sniper_body_g_legsoff,128,0,|zone_source/cp_mod.zone|csv
81,xmodel,c_nrc_sniper_body_g_llegoff,128,0,|zone_source/cp_mod.zone|csv
82,xmodel,c_nrc_sniper_body_g_lowclean,136,0,|zone_source/cp_mod.zone|csv
83,xmodel,c_nrc_sniper_body_g_rlegoff,128,0,|zone_source/cp_mod.zone|csv
84,xmodel,c_nrc_suppressor_body_g_legsoff,136,0,|zone_source/cp_mod.zone|csv
85,xmodel,c_nrc_suppressor_body_g_llegoff,136,0,|zone_source/cp_mod.zone|csv
86,xmodel,c_nrc_suppressor_body_g_lowclean,136,0,|zone_source/cp_mod.zone|csv
87,xmodel,c_nrc_suppressor_body_g_rlegoff,136,0,|zone_source/cp_mod.zone|csv
88,xmodel,c_54i_assault_body_g_blegsoff,136,0,|zone_source/cp_mod.zone|csv
89,xmodel,c_54i_assault_body_g_llegoff,136,0,|zone_source/cp_mod.zone|csv
90,xmodel,c_54i_assault_body_g_lowclean,136,0,|zone_source/cp_mod.zone|csv
91,xmodel,c_54i_assault_body_g_rlegoff,136,0,|zone_source/cp_mod.zone|csv
92,xmodel,c_54i_assault_f_body_g_blegsoff,136,0,|zone_source/cp_mod.zone|csv
93,xmodel,c_54i_assault_f_body_g_llegoff,136,0,|zone_source/cp_mod.zone|csv
94,xmodel,c_54i_assault_f_body_g_lowclean,136,0,|zone_source/cp_mod.zone|csv
95,xmodel,c_54i_assault_f_body_g_rlegoff,136,0,|zone_source/cp_mod.zone|csv
96,xmodel,c_54i_cqb_body_g_blegsoff,128,0,|zone_source/cp_mod.zone|csv
97,xmodel,c_54i_cqb_body_g_llegoff,128,0,|zone_source/cp_mod.zone|csv
98,xmodel,c_54i_cqb_body_g_lowclean,128,0,|zone_source/cp_mod.zone|csv
99,xmodel,c_54i_cqb_body_g_rlegoff,128,0,|zone_source/cp_mod.zone|csv
100,xmodel,c_54i_cqb_f_body_g_blegsoff,128,0,|zone_source/cp_mod.zone|csv
101,xmodel,c_54i_cqb_f_body_g_llegoff,128,0,|zone_source/cp_mod.zone|csv
102,xmodel,c_54i_cqb_f_body_g_lowclean,128,0,|zone_source/cp_mod.zone|csv
103,xmodel,c_54i_cqb_f_body_g_rlegoff,128,0,|zone_source/cp_mod.zone|csv
104,xmodel,c_54i_sniper_body_g_blegsoff,136,0,|zone_source/cp_mod.zone|csv
105,xmodel,c_54i_sniper_body_g_llegoff,128,0,|zone_source/cp_mod.zone|csv
106,xmodel,c_54i_sniper_body_g_lowclean,136,0,|zone_source/cp_mod.zone|csv
107,xmodel,c_54i_sniper_body_g_rlegoff,128,0,|zone_source/cp_mod.zone|csv
108,xmodel,c_54i_supp_body_g_blegsoff,128,0,|zone_source/cp_mod.zone|csv
109,xmodel,c_54i_supp_body_g_llegoff,128,0,|zone_source/cp_mod.zone|csv
110,xmodel,c_54i_supp_body_g_lowclean,128,0,|zone_source/cp_mod.zone|csv
111,xmodel,c_54i_supp_body_g_rlegoff,128,0,|zone_source/cp_mod.zone|csv
112,keyvaluepairs,cp_mod,2289,0,||assetlist
113,bgcache,cp_mod,13203,0,||assetlist
114,image,t7_cp_hud_commswidget_diaz,60315,0,|zone_source/cp_mod.zone|csv
115,image,t7_cp_hud_commswidget_hendricks,60448,0,|zone_source/cp_mod.zone|csv
116,image,t7_cp_hud_commswidget_maretti,60446,0,|zone_source/cp_mod.zone|csv
117,image,t7_cp_hud_commswidget_rachel,60445,0,|zone_source/cp_mod.zone|csv
118,image,t7_cp_hud_commswidget_rachel_sing,60450,0,|zone_source/cp_mod.zone|csv
119,image,t7_cp_hud_commswidget_sarah,60444,0,|zone_source/cp_mod.zone|csv
120,image,t7_cp_hud_commswidget_taylor,60445,0,|zone_source/cp_mod.zone|csv
121,image,t7_cp_hud_commswidget_khalil,60445,0,|zone_source/cp_mod.zone|csv
122,image,t7_cp_hud_commswidget_gohxiulan,60448,0,|zone_source/cp_mod.zone|csv
123,image,t7_cp_hud_commswidget_vtolpilot,60448,0,|zone_source/cp_mod.zone|csv
124,image,t7_cp_hud_commswidget_egypt,60444,0,|zone_source/cp_mod.zone|csv
125,image,i_t7_graphic_display_mugshot_02_c,274,1398128,|zone_source/cp_mod.zone|csv
126,assetlist,,1986,0,
