index,type,name,resident,streamed,parentStack
1,string,,0,0,||assetlist
2,rawfile,dummy.cfg,17,0,|zone_source/mp_mod.zone|csv
3,scriptparsetree,scripts/mp/bots/_bot_loadout.gsc,18256,0,|zone_source/mp_mod.zone|csv
4,scriptparsetree,scripts/mp/_load.gsc,6212,0,|zone_source/mp_mod.zone|csv
5,scriptparsetree,scripts/mp/_load.csc,3848,0,|zone_source/mp_mod.zone|csv
6,keyvaluepairs,mp_mod,1118,0,||assetlist
7,image,t7_mp_loadingportrait_ability_blackmarket,97242,0,|zone_source/mp_mod.zone|csv
8,image,t7_mp_loadingportrait_ability_firebreak,97320,0,|zone_source/mp_mod.zone|csv
9,image,t7_mp_loadingportrait_ability_nomad,97316,0,|zone_source/mp_mod.zone|csv
10,image,t7_mp_loadingportrait_ability_outrider,97319,0,|zone_source/mp_mod.zone|csv
11,image,t7_mp_loadingportrait_ability_prophet,97318,0,|zone_source/mp_mod.zone|csv
12,image,t7_mp_loadingportrait_ability_reaper,97317,0,|zone_source/mp_mod.zone|csv
13,image,t7_mp_loadingportrait_ability_ruin,97315,0,|zone_source/mp_mod.zone|csv
14,image,t7_mp_loadingportrait_ability_seraph,97317,0,|zone_source/mp_mod.zone|csv
15,image,t7_mp_loadingportrait_ability_spectre,97318,0,|zone_source/mp_mod.zone|csv
16,image,t7_mp_loadingportrait_weapon_blackmarket,97321,0,|zone_source/mp_mod.zone|csv
17,image,t7_mp_loadingportrait_weapon_firebreak,97319,0,|zone_source/mp_mod.zone|csv
18,image,t7_mp_loadingportrait_weapon_nomad,97315,0,|zone_source/mp_mod.zone|csv
19,image,t7_mp_loadingportrait_weapon_outrider,97318,0,|zone_source/mp_mod.zone|csv
20,image,t7_mp_loadingportrait_weapon_prophet,97317,0,|zone_source/mp_mod.zone|csv
21,image,t7_mp_loadingportrait_weapon_reaper,97316,0,|zone_source/mp_mod.zone|csv
22,image,t7_mp_loadingportrait_weapon_ruin,97314,0,|zone_source/mp_mod.zone|csv
23,image,t7_mp_loadingportrait_weapon_seraph,97316,0,|zone_source/mp_mod.zone|csv
24,image,t7_mp_loadingportrait_weapon_spectre,97317,0,|zone_source/mp_mod.zone|csv
25,assetlist,,368,0,
