index,type,name,resident,streamed,parentStack
1,string,,55,0,||assetlist
2,rawfile,dummy.cfg,25,0,|zone_source/zm_mod.zone|csv
3,sound,zm_mod.all,39935,0,||assetlist
4,rawfile,ui/uieditor/menus/startmenu/t6startmenu_gameoptions_zm.lua,5912,0,|zone_source/zm_mod.zone|csv
5,rawfile,ui/uieditor/menus/startmenu/h1startmenu_gameoptions_zm.lua,5924,0,|zone_source/zm_mod.zone|csv
6,rawfile,ui/uieditor/menus/startmenu/iw7startmenu_gameoptions_zm.lua,5936,0,|zone_source/zm_mod.zone|csv
7,rawfile,ui/uieditor/menus/startmenu/s4startmenu_gameoptions_zm.lua,5932,0,|zone_source/zm_mod.zone|csv
8,rawfile,ui/uieditor/widgets/startmenu/startmenu_gameoptions_kf2.lua,446,0,|zone_source/zm_mod.zone|csv
9,scriptparsetree,scripts/gfl/zm/character_mgr.gsc,11729,0,|zone_source/zm_mod.zone|csv
10,scriptparsetree,scripts/gfl/zm/character_mgr.csc,3034,0,|zone_source/zm_mod.zone|csv
11,scriptparsetree,scripts/gfl/zm/zm_character.gsc,12332,0,|zone_source/zm_mod.zone|csv
12,scriptparsetree,scripts/gfl/zm/gameplay.gsc,10962,0,|zone_source/zm_mod.zone|csv
13,scriptparsetree,scripts/gfl/zm/gameplay.csc,1122,0,|zone_source/zm_mod.zone|csv
14,scriptparsetree,scripts/gfl/zm/perkplus.gsc,8522,0,|zone_source/zm_mod.zone|csv
15,scriptparsetree,scripts/gfl/zm/t8_perkloss.gsc,6178,0,|zone_source/zm_mod.zone|csv
16,scriptparsetree,scripts/gfl/zm/magicboxshare.gsc,7108,0,|zone_source/zm_mod.zone|csv
17,scriptparsetree,scripts/gfl/zm/mule_kick_indicator.gsc,3274,0,|zone_source/zm_mod.zone|csv
18,scriptparsetree,scripts/gfl/zm/mule_kick_return.gsc,5658,0,|zone_source/zm_mod.zone|csv
19,scriptparsetree,scripts/gfl/zm/zm_bot.gsc,34558,0,|zone_source/zm_mod.zone|csv
20,scriptparsetree,scripts/gfl/zm/zm_counter.gsc,2762,0,|zone_source/zm_mod.zone|csv
21,scriptparsetree,scripts/gfl/zm/zm_sub.gsc,8132,0,|zone_source/zm_mod.zone|csv
22,scriptparsetree,scripts/gfl/zm/zm_sub.csc,1126,0,|zone_source/zm_mod.zone|csv
23,scriptparsetree,scripts/gfl/zm/coldwar_scoreevent.gsc,7558,0,|zone_source/zm_mod.zone|csv
24,scriptparsetree,scripts/gfl/zm/bo4_carpenter.gsc,1806,0,|zone_source/zm_mod.zone|csv
25,scriptparsetree,scripts/gfl/zm/_aae_zombie_health_bar.gsc,6310,0,|zone_source/zm_mod.zone|csv
26,scriptparsetree,scripts/gfl/zm/_aae_zombie_health_bar.csc,9966,0,|zone_source/zm_mod.zone|csv
27,scriptparsetree,scripts/zm/_zm_ffotd.gsc,434,0,|zone_source/zm_mod.zone|csv
28,scriptparsetree,scripts/zm/_zm_ffotd.csc,336,0,|zone_source/zm_mod.zone|csv
29,scriptparsetree,scripts/zm/tfoptions.csc,716,0,|zone_source/zm_mod.zone|csv
30,scriptparsetree,scripts/zm/tfoptions.gsc,21228,0,|zone_source/zm_mod.zone|csv
31,scriptparsetree,scripts/zm/zmsavedata.gsc,2442,0,|zone_source/zm_mod.zone|csv
32,scriptparsetree,scripts/zm/infinityloader.gsc,100366,0,|zone_source/zm_mod.zone|csv
33,scriptparsetree,scripts/zm/bo4_full_ammo.gsc,1996,0,|zone_source/zm_mod.zone|csv
