index,type,name,resident,streamed,parentStack
1,string,,0,0,||assetlist
2,localize,GFL_CHARACTER_MENU_SELECT_NAME,38,0,||assetlist
3,localize,GFL_CHARACTER_MENU_SELECT_DESC,86,0,||assetlist
4,localize,GFL_CHARACTER_M16A1_NAME,31,0,||assetlist
5,localize,GFL_CHARACTER_M16A1_BIO,1307,0,||assetlist
6,localize,GFL_CHARACTER_AK12_NAME,30,0,||assetlist
7,localize,GFL_CHARACTER_AK12_BIO,1624,0,||assetlist
8,localize,GFL_CHARACTER_HK416_NAME,32,0,||assetlist
9,localize,GFL_CHARACTER_HK416_BIO,1463,0,||assetlist
10,localize,GFL_CHARACTER_TYPE89_NAME,39,0,||assetlist
11,localize,GFL_CHARACTER_TYPE89_BIO,348,0,||assetlist
12,localize,GFL_CHARACTER_TOLOLO_NAME,33,0,||assetlist
13,localize,GFL_CHARACTER_TOLOLO_BIO,700,0,||assetlist
14,localize,GFL_CHARACTER_SUOMI_NAME,38,0,||assetlist
15,localize,GFL_CHARACTER_SUOMI_BIO,661,0,||assetlist
16,localize,GFL_CHARACTER_VEPLEY_NAME,33,0,||assetlist
17,localize,GFL_CHARACTER_VEPLEY_BIO,428,0,||assetlist
18,localize,GFL_CHARACTER_MP7_NAME,30,0,||assetlist
19,localize,GFL_CHARACTER_MP7_BIO,1281,0,||assetlist
20,localize,GFL_CHARACTER_UMP45_NAME,30,0,||assetlist
21,localize,GFL_CHARACTER_UMP45_BIO,1440,0,||assetlist
22,localize,GFL_CHARACTER_SUPER_SASS_NAME,41,0,||assetlist
23,localize,GFL_CHARACTER_SUPER_SASS_BIO,427,0,||assetlist
24,localize,GFL_CHARACTER_P90_NAME,27,0,||assetlist
25,localize,GFL_CHARACTER_P90_BIO,490,0,||assetlist
26,localize,GFL_CHARACTER_NEGEV_NAME,31,0,||assetlist
27,localize,GFL_CHARACTER_NEGEV_BIO,303,0,||assetlist
28,localize,GFL_CHARACTER_M4_SOPMOD_II_NAME,45,0,||assetlist
29,localize,GFL_CHARACTER_M4_SOPMOD_II_BIO,2182,0,||assetlist
30,localize,GFL_CHARACTER_9A91_NAME,30,0,||assetlist
31,localize,GFL_CHARACTER_9A91_BIO,1100,0,||assetlist
32,localize,GFL_CHARACTER_G11_NAME,44,0,||assetlist
33,localize,GFL_CHARACTER_G11_BIO,911,0,||assetlist
34,keyvaluepairs,ea_core_mod,1106,0,||assetlist
35,assetlist,,528,0,
