index,type,name,resident,streamed,parentStack
1,string,,0,0,||assetlist
2,sound,zm_mod.en,29,0,||assetlist
3,localize,GFL_ZM_ZMLEFT,37,0,||assetlist
4,localize,SUBEVENT_STORED,28,0,||assetlist
5,localize,SUBEVENT_GOT_MY,25,0,||assetlist
6,localize,SUBEVENT_BACK,19,0,||assetlist
7,localize,SUBEVENT_LOADINGMAP,34,0,||assetlist
8,localize,SUBEVENT_GOT_PAP,40,0,||assetlist
9,localize,SUBEVENT_DROPSOME,40,0,||assetlist
10,localize,SUBEVENT_GOTPERK,35,0,||assetlist
11,localize,SUBEVENT_READY,33,0,||assetlist
12,localize,SUBEVENT_AUTOREVIVE,37,0,||assetlist
13,localize,SUBEVENT_GOTSOMEPERK,31,0,||assetlist
14,localize,SUBEVENT_GOTWP,15,0,||assetlist
15,localize,SUBEVENT_SHAREWP,28,0,||assetlist
16,localize,SUBEVENT_SHAREWPHERE,26,0,||assetlist
17,localize,SUBEVENT_TRADEWP,26,0,||assetlist
18,localize,SUBEVENT_LASTZM,48,0,||assetlist
19,localize,SUBEVENT_OPENDOOR,34,0,||assetlist
20,localize,SUBEVENT_DOT,15,0,||assetlist
21,localize,SUBEVENT_NUKE,22,0,||assetlist
22,localize,SUBEVENT_PLAYER_DOWNED,35,0,||assetlist
23,localize,SUBEVENT_GOT_WONDER_WEAPON,44,0,||assetlist
24,localize,SCOREEVENT_AUTO_REVIVE,35,0,||assetlist
25,localize,SCOREEVENT_PACK_A_PUNCH,37,0,||assetlist
26,localize,SCOREEVENT_GOT_A_PERK,36,0,||assetlist
27,localize,SCOREEVENT_MULE_KICK_WEAPON_RESTORED,63,0,||assetlist
28,localize,SCOREEVENT_DOUBLETAP,42,0,||assetlist
29,localize,SCOREEVENT_JUGGER_NOG,33,0,||assetlist
30,localize,SCOREEVENT_WHOS_WHO,30,0,||assetlist
31,localize,SCOREEVENT_VULTURE_AID,35,0,||assetlist
32,localize,SCOREEVENT_TOMBSTONE,31,0,||assetlist
33,localize,SCOREEVENT_PHD_FLOPPER,35,0,||assetlist
34,localize,SCOREEVENT_SNAILS_PACE_SLURPEE,51,0,||assetlist
35,localize,SCOREEVENT_CRYO_SLIDE_SODA,43,0,||assetlist
36,localize,SCOREEVENT_SALVAGE_SHAKE_,40,0,||assetlist
37,localize,SCOREEVENT_WINDRUNNER_WHISKEY,49,0,||assetlist
38,localize,SCOREEVENT_ATOMIC_LIQUEUR,40,0,||assetlist
39,localize,SCOREEVENT_ARMOR_NOG,31,0,||assetlist
40,localize,SCOREEVENT_SECRET_SAUCE,37,0,||assetlist
41,localize,SCOREEVENT_CRUSADERS_ALE,40,0,||assetlist
42,localize,SCOREEVENT_BULL_ICE_BLAST,41,0,||assetlist
43,localize,SCOREEVENT_VIGOR_RUSH,33,0,||assetlist
44,localize,SCOREEVENT_MADGAZ_MOONSHINE,45,0,||assetlist
45,localize,SCOREEVENT_BANDOLIER_BANDIT,45,0,||assetlist
46,localize,SCOREEVENT_ETHEREAL_RAZOR,41,0,||assetlist
47,localize,SCOREEVENT_PHD_SLIDER,33,0,||assetlist
48,localize,SCOREEVENT_STONE_COLD_STRONGHOLD,55,0,||assetlist
49,localize,SCOREEVENT_TIMESLIP,29,0,||assetlist
50,localize,SCOREEVENT_VICTORIOUS_TORTOISE,51,0,||assetlist
51,localize,SCOREEVENT_WINTER_WAIL,35,0,||assetlist
52,localize,SCOREEVENT_ZOMBSHELL,31,0,||assetlist
53,localize,SCOREEVENT_BLOOD_WOLF_BITE,43,0,||assetlist
54,localize,SCOREEVENT_BLAZE_PHASE,35,0,||assetlist
55,localize,SCOREEVENT_DYING_WISH,33,0,||assetlist
56,localize,SCOREEVENT_BANANA_COLADA,39,0,||assetlist
57,localize,SCOREEVENT_PERK_A_LOT,33,0,||assetlist
58,localize,SCOREEVENT_GOT_A_WEAPON,40,0,||assetlist
59,localize,SCOREEVENT_TRADE_WEAPON,37,0,||assetlist
60,localize,SCOREEVENT_REPAIRED,29,0,||assetlist
61,localize,SCOREEVENT_BARRIER_REBUILDED,45,0,||assetlist
62,localize,SCOREEVENT_SHIELD_REPAIRED,43,0,||assetlist
63,localize,SCOREEVENT_BRO_NEXT_ROUND,42,0,||assetlist
64,localize,SCOREEVENT_STUN,31,0,||assetlist
65,localize,SCOREEVENT_DAMAGE_INCREASE,43,0,||assetlist
66,localize,SCOREEVENT_HIT,19,0,||assetlist
67,localize,SCOREEVENT_WUNDERWAFFE_KILL,50,0,||assetlist
68,localize,SCOREEVENT_RAYGUN_MARK2_KILL,50,0,||assetlist
69,localize,SCOREEVENT_RAYGUN_KILL,36,0,||assetlist
70,localize,SCOREEVENT_SHIELD_KILL,35,0,||assetlist
71,localize,SCOREEVENT_GKZ_45_MARK3_KILL,45,0,||assetlist
72,localize,SCOREEVENT_THUNDERGUN_KILL,43,0,||assetlist
73,localize,SCOREEVENT_SHARPSHOOTER_KILL,47,0,||assetlist
74,localize,SCOREEVENT_C_ZOMBIE_CRITICAL_KILL,57,0,||assetlist
75,localize,SCOREEVENT_C_HELLHOUNDS_CRITICAL_KILL,65,0,||assetlist
76,localize,SCOREEVENT_C_WUNDERWAFFE_KILL,54,0,||assetlist
77,localize,SCOREEVENT_C_RAYGUN_MARK2_KILL,54,0,||assetlist
78,localize,SCOREEVENT_C_RAYGUN_KILL,40,0,||assetlist
79,localize,SCOREEVENT_C_SHIELD_KILL,39,0,||assetlist
80,localize,SCOREEVENT_C_GKZ_45_MARK3_KILL,49,0,||assetlist
81,localize,SCOREEVENT_C_THUNDERGUN_KILL,47,0,||assetlist
82,localize,SCOREEVENT_C_ZOMBIE_EXPLOSIVE_KILL,59,0,||assetlist
83,localize,SCOREEVENT_C_ZOMBIE_MELEE_KILL,51,0,||assetlist
84,localize,SCOREEVENT_C_ZOMBIE_HEADSHOT_KILL,57,0,||assetlist
85,localize,SCOREEVENT_C_SHARPSHOOTER_KILL,51,0,||assetlist
86,localize,SCOREEVENT_CLEAN_DEBRIS,37,0,||assetlist
87,localize,SCOREEVENT_ZOMBIE_KILL,42,0,||assetlist
88,localize,SCOREEVENT_ZOMBIE_EXPLOSIVE_KILL,55,0,||assetlist
89,localize,SCOREEVENT_ZOMBIE_MELEE_KILL,47,0,||assetlist
90,localize,SCOREEVENT_ZOMBIE_HEADSHOT_KILL,53,0,||assetlist
91,localize,SCOREEVENT_MEATBALL_KILL,46,0,||assetlist
92,localize,SCOREEVENT_C_MEATBALL_CRITICAL_KILL,61,0,||assetlist
93,localize,SCOREEVENT_SPIDER_KILL,42,0,||assetlist
94,localize,SCOREEVENT_C_SPIDER_CRITICAL_KILL,57,0,||assetlist
95,localize,SCOREEVENT_HELLHOUND_KILL,48,0,||assetlist
96,localize,SCOREEVENT_C_HELLHOUND_CRITICAL_KILL,63,0,||assetlist
97,localize,SCOREEVENT_NAPALMZOMBIE_KILL,55,0,||assetlist
98,localize,SCOREEVENT_C_NAPALMZOMBIE_CRITICAL_KILL,70,0,||assetlist
99,localize,SCOREEVENT_SHRIEKER_KILL,46,0,||assetlist
100,localize,SCOREEVENT_C_SHRIEKER_CRITICAL_KILL,61,0,||assetlist
101,localize,SCOREEVENT_THRASHER_KILL,46,0,||assetlist
102,localize,SCOREEVENT_C_THRASHER_CRITICAL_KILL,61,0,||assetlist
103,localize,SCOREEVENT_NOVACRAWLER_KILL,52,0,||assetlist
104,localize,SCOREEVENT_C_NOVACRAWLER_CRITICAL_KILL,67,0,||assetlist
105,localize,SCOREEVENT_APOTHICONFURY_KILL,56,0,||assetlist
106,localize,SCOREEVENT_C_APOTHICONFURY_CRITICAL_KILL,71,0,||assetlist
107,localize,SCOREEVENT_PANZERSOLDAT_KILL,54,0,||assetlist
108,localize,SCOREEVENT_C_PANZERSOLDAT_CRITICAL_KILL,69,0,||assetlist
109,localize,SCOREEVENT_MARGWA_KILL,42,0,||assetlist
110,localize,SCOREEVENT_C_MARGWA_CRITICAL_KILL,57,0,||assetlist
111,localize,SCOREEVENT_MANGLER_KILL,44,0,||assetlist
112,localize,SCOREEVENT_C_MANGLER_CRITICAL_KILL,59,0,||assetlist
113,localize,SCOREEVENT_WARDEN_KILL,42,0,||assetlist
114,localize,SCOREEVENT_C_WARDEN_CRITICAL_KILL,57,0,||assetlist
115,localize,SCOREEVENT_KEEPER_KILL,42,0,||assetlist
116,localize,SCOREEVENT_C_KEEPER_CRITICAL_KILL,57,0,||assetlist
117,localize,SCOREEVENT_PARASITE_KILL,46,0,||assetlist
118,localize,SCOREEVENT_C_PARASITE_CRITICAL_KILL,61,0,||assetlist
119,localize,SCOREEVENT_DRONE_KILL,49,0,||assetlist
120,localize,SCOREEVENT_C_DRONE_CRITICAL_KILL,64,0,||assetlist
121,keyvaluepairs,ja_zm_mod,1119,0,||assetlist
122,assetlist,,1920,0,
