index,type,name,resident,streamed,parentStack
1,string,,0,0,||assetlist
2,sound,zm_mod.ru,28,0,||assetlist
3,localize,GFL_ZM_ZMLEFT,37,0,||assetlist
4,localize,SUBEVENT_STORED,28,0,||assetlist
5,localize,SUBEVENT_GOT_MY,25,0,||assetlist
6,localize,SUBEVENT_BACK,19,0,||assetlist
7,localize,SUBEVENT_LOADINGMAP,34,0,||assetlist
8,localize,SUBEVENT_GOT_PAP,40,0,||assetlist
9,localize,SUBEVENT_DROPSOME,40,0,||assetlist
10,localize,SUBEVENT_GOTPERK,35,0,||assetlist
11,localize,SUBEVENT_READY,33,0,||assetlist
12,localize,SUBEVENT_AUTOREVIVE,37,0,||assetlist
13,localize,SUBEVENT_GOTSOMEPERK,31,0,||assetlist
14,localize,SUBEVENT_GOTWP,15,0,||assetlist
15,localize,SUBEVENT_SHAREWP,28,0,||assetlist
16,localize,SUBEVENT_SHAREWPHERE,26,0,||assetlist
17,localize,SUBEVENT_TRADEWP,26,0,||assetlist
18,localize,SUBEVENT_LASTZM,48,0,||assetlist
19,localize,SUBEVENT_OPENDOOR,34,0,||assetlist
20,localize,SUBEVENT_DOT,15,0,||assetlist
21,localize,SUBEVENT_NUKE,22,0,||assetlist
22,localize,SUBEVENT_PLAYER_DOWNED,35,0,||assetlist
23,localize,SUBEVENT_GOT_WONDER_WEAPON,44,0,||assetlist
24,keyvaluepairs,ru_zm_mod,1123,0,||assetlist
25,assetlist,,368,0,
