Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber,
bik_aquifiers_load_lfe,,streamed,,,,,,,,,BUS_MOVIE,grp_bink,snp_movie,,0,0,96,96,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,0,0,100,100,0,1,no,2d,lfe,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,plr_gender,female,mature,explicit,,,,,no,no,yes,0,2000,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
bik_aquifiers_load_lfe,,streamed,,,,,,,,,BUS_MOVIE,grp_bink,snp_movie,,0,0,96,96,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,0,0,100,100,0,1,no,2d,lfe,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,plr_gender,female,mature,safe,,,,,no,no,yes,0,2000,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
bik_aquifiers_load_lfe,,streamed,,,,,,,,,BUS_MOVIE,grp_bink,snp_movie,,0,0,96,96,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,0,0,100,100,0,1,no,2d,lfe,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,plr_gender,male,mature,explicit,,,,,no,no,yes,0,2000,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
bik_aquifiers_load_lfe,,streamed,,,,,,,,,BUS_MOVIE,grp_bink,snp_movie,,0,0,96,96,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,0,0,100,100,0,1,no,2d,lfe,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,plr_gender,male,mature,safe,,,,,no,no,yes,0,2000,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
bik_aquifiers_load_lr,,streamed,bik\cp_load_shared\cp_aquifer\aquifiers_load_lr.wav,,,,,bik_aquifiers_load_sur,,,BUS_MOVIE,grp_bink,snp_movie,cmn_duck_all_but_movie,0,0,93,93,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,0,0,100,100,0,1,no,2d,front,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,plr_gender,female,mature,explicit,,,,,no,no,yes,0,2000,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
bik_aquifiers_load_lr,,streamed,bik\cp_load_shared\cp_aquifer\aquifiers_load_lr.wav,,,,,bik_aquifiers_load_sur,,,BUS_MOVIE,grp_bink,snp_movie,cmn_duck_all_but_movie,0,0,93,93,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,0,0,100,100,0,1,no,2d,front,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,plr_gender,female,mature,safe,,,,,no,no,yes,0,2000,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
bik_aquifiers_load_lr,,streamed,bik\cp_load_shared\cp_aquifer\aquifiers_load_lr.wav,,,,,bik_aquifiers_load_sur,,,BUS_MOVIE,grp_bink,snp_movie,cmn_duck_all_but_movie,0,0,93,93,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,0,0,100,100,0,1,no,2d,front,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,plr_gender,male,mature,explicit,,,,,no,no,yes,0,2000,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
bik_aquifiers_load_lr,,streamed,bik\cp_load_shared\cp_aquifer\aquifiers_load_lr.wav,,,,,bik_aquifiers_load_sur,,,BUS_MOVIE,grp_bink,snp_movie,cmn_duck_all_but_movie,0,0,93,93,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,0,0,100,100,0,1,no,2d,front,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,plr_gender,male,mature,safe,,,,,no,no,yes,0,2000,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
bik_aquifiers_load_sur,,streamed,bik\cp_load_shared\cp_aquifer\aquifiers_load_sur.wav,,,,,bik_aquifiers_load_lfe,,,BUS_MOVIE,grp_bink,snp_movie,,0,0,93,93,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,0,0,100,100,0,1,no,2d,quad,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,plr_gender,female,mature,explicit,,,,,no,no,yes,0,2000,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
bik_aquifiers_load_sur,,streamed,bik\cp_load_shared\cp_aquifer\aquifiers_load_sur.wav,,,,,bik_aquifiers_load_lfe,,,BUS_MOVIE,grp_bink,snp_movie,,0,0,93,93,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,0,0,100,100,0,1,no,2d,quad,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,plr_gender,female,mature,safe,,,,,no,no,yes,0,2000,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
