Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber,
amb_offices_test,,loaded,evt\cp_prologue\_lines\office\amb_office.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,55,0,72,72,200,1200,1200,allon,default,allon,default,8,priority,8,oldest,0,0,40,70,0,1,no,3d,quad,,looping,,1,0,0,0,0,0.1,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
bik_PlaceholderLoadingMovie,,streamed,mus\cp\blackstation\blackstation_part3_edit_60.wav,,,,,,,,BUS_MUSIC,grp_menu,snp_music,,0,0,76,76,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,0,0,100,100,0,1,no,2d,music_all,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,no,yes,no,0,1000,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
cac_cac_reenter,,loaded,uin\cac\common\cac_cmn_backout.wav,,,,,,,,BUS_UI,grp_menu,snp_never_duck,,0,0,86,86,0,10000,10000,allon,default,allon,default,2,oldest,8,oldest,0,0,100,100,0,1,no,2d,front,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,no,no,no,0,0,no,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
cac_cmn_backout,,loaded,uin\cac\common\cac_cmn_backout.wav,,,,,,,,BUS_UI,grp_menu,snp_never_duck,,0,0,78,78,0,10000,10000,allon,default,allon,default,2,oldest,8,oldest,0,0,100,100,0,1,no,2d,front,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,no,no,no,0,0,no,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
cac_cmn_deny,,loaded,uin\generic\deny.wav,,,,,,,,BUS_UI,grp_menu,snp_never_duck,,0,0,86,86,0,10000,10000,allon,default,allon,default,2,oldest,8,oldest,0,0,100,100,0,1,no,2d,front,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,no,no,no,0,0,no,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
cac_cmn_equip_item,,loaded,uin\cac\cac_equipment_add.wav,,,,,,,,BUS_UI,grp_menu,snp_never_duck,,0,0,86,86,0,10000,10000,allon,default,allon,default,2,oldest,8,oldest,0,0,100,100,0,1,no,2d,front,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,no,no,no,0,0,no,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
cac_enter,,loaded,uin\cac\cac_enter.wav,,,,,,,,BUS_UI,grp_menu,snp_never_duck,,0,0,90,90,0,10000,10000,allon,default,allon,default,2,oldest,8,oldest,0,0,100,100,0,1,no,2d,front,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,no,no,no,0,0,no,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
cac_enter_cac,,loaded,uin\cac\cac_enter.wav,,,,,,,,BUS_UI,grp_menu,snp_never_duck,,0,0,90,90,0,10000,10000,allon,default,allon,default,2,oldest,8,oldest,0,0,100,100,0,1,no,2d,front,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,no,no,no,0,0,no,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
cac_equipment_add,,loaded,uin\cac\cac_equipment_add.wav,,,,,,,,BUS_UI,grp_menu,snp_never_duck,,0,0,86,86,0,10000,10000,allon,default,allon,default,2,oldest,8,oldest,0,0,100,100,0,1,no,2d,front,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,no,no,no,0,0,no,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
cac_equipment_add_equipment,,loaded,uin\cac\cac_equipment_equip.wav,,,,,,,,BUS_UI,grp_menu,snp_never_duck,,0,0,86,86,0,10000,10000,allon,default,allon,default,2,oldest,8,oldest,0,0,100,100,0,1,no,2d,front,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,no,no,no,0,0,no,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
